No. of obs,Cluster no., KWH   ,,,,,,,,,,,
1,2,0.0061,,,,,,,,,,,
2,2,0.006,,,,,,,Colour code,Cluster no,Max,Min,Average
3,2,0.0062,,,,,,,,1,1.2377,0.2649,0.716220655
4,2,0.0068,,,,,,,,2,0.1777,0,0.016802539
5,2,0.005,,,,,,,,3,0.5691,0.1061,0.34408072
6,2,0.0059,,,,,,,,,,,
7,2,0.0052,,,,,,,,,,,
8,2,0.005,,,,,,,,,,,
9,2,0.0052,,,,,,,,,,,
10,2,0.006,,,,,,,,,,,
11,2,0.0045,,,,,,,,,,,
12,2,0.0056,,,,,,,,,,,
13,2,0.0053,,,,,,,,,,,
14,2,0.0048,,,,,,,,,,,
15,2,0.0053,,,,,,,,,,,
16,2,0.0073,,,,,,,,,,,
17,2,0.0102,,,,,,,,,,,
18,2,0.0098,,,,,,,,,,,
19,2,0.0094,,,,,,,,,,,
20,2,0.0098,,,,,,,,,,,
21,2,0.0093,,,,,,,,,,,
22,2,0.0092,,,,,,,,,,,
23,2,0.0092,,,,,,,,,,,
24,2,0.0094,,,,,,,,,,,
25,2,0.0065,,,,,,,,,,,
26,2,0.0058,,,,,,,,,,,
27,2,0.0056,,,,,,,,,,,
28,2,0.0057,,,,,,,,,,,
29,2,0.0056,,,,,,,,,,,
30,2,0.0067,,,,,,,,,,,
31,2,0.0058,,,,,,,,,,,
32,2,0.0052,,,,,,,,,,,
33,2,0.0074,,,,,,,,,,,
34,2,0.0061,,,,,,,,,,,
35,2,0.0063,,,,,,,,,,,
36,2,0.0064,,,,,,,,,,,
37,2,0.0103,,,,,,,,,,,
38,2,0.0098,,,,,,,,,,,
39,2,0.0117,,,,,,,,,,,
40,2,0.0198,,,,,,,,,,,
41,2,0.0465,,,,,,,,,,,
42,2,0.0348,,,,,,,,,,,
43,2,0.0234,,,,,,,,,,,
44,2,0.0294,,,,,,,,,,,
45,2,0.0311,,,,,,,,,,,
46,2,0.0297,,,,,,,,,,,
47,2,0.029,,,,,,,,,,,
48,2,0.028,,,,,,,,,,,
49,2,0.029,,,,,,,,,,,
50,2,0.027,,,,,,,,,,,
51,2,0.0106,,,,,,,,,,,
52,2,0.01,,,,,,,,,,,
53,2,0.0104,,,,,,,,,,,
54,2,0.0103,,,,,,,,,,,
55,2,0.0104,,,,,,,,,,,
56,2,0.0102,,,,,,,,,,,
57,2,0.0105,,,,,,,,,,,
58,2,0.0102,,,,,,,,,,,
59,2,0.0104,,,,,,,,,,,
60,2,0.01,,,,,,,,,,,
61,2,0.0091,,,,,,,,,,,
62,2,0.0086,,,,,,,,,,,
63,2,0.0103,,,,,,,,,,,
64,2,0.0183,,,,,,,,,,,
65,2,0.0257,,,,,,,,,,,
66,2,0.0191,,,,,,,,,,,
67,2,0.0442,,,,,,,,,,,
68,2,0.1061,,,,,,,,,,,
69,2,0.1381,,,,,,,,,,,
70,2,0.1311,,,,,,,,,,,
71,2,0.1406,,,,,,,,,,,
72,2,0.1219,,,,,,,,,,,
73,2,0.098,,,,,,,,,,,
74,2,0.0914,,,,,,,,,,,
75,2,0.0888,,,,,,,,,,,
76,2,0.091,,,,,,,,,,,
77,2,0.127,,,,,,,,,,,
78,2,0.1175,,,,,,,,,,,
79,2,0.1089,,,,,,,,,,,
