 DATE,Sum of  KWH   
"Saturday, September 01, 2012",59.2422
"Sunday, September 02, 2012",79.969
"Monday, September 03, 2012",89.0316
"Tuesday, September 04, 2012",87.5582
"Wednesday, September 05, 2012",87.1719
"Thursday, September 06, 2012",94.0164
"Friday, September 07, 2012",87.3044
"Saturday, September 08, 2012",63.6727
"Sunday, September 09, 2012",75.8299
"Monday, September 10, 2012",83.4043
"Tuesday, September 11, 2012",84.467
"Wednesday, September 12, 2012",86.3651
"Thursday, September 13, 2012",87.8966
"Friday, September 14, 2012",81.9992
"Saturday, September 15, 2012",47.5817
"Sunday, September 16, 2012",76.3263
"Monday, September 17, 2012",90.3514
"Tuesday, September 18, 2012",92.0337
"Wednesday, September 19, 2012",93.7788
"Thursday, September 20, 2012",92.18
"Friday, September 21, 2012",81.7191
"Saturday, September 22, 2012",61.3952
"Sunday, September 23, 2012",82.1393
"Monday, September 24, 2012",90.4674
"Tuesday, September 25, 2012",95.8091
"Wednesday, September 26, 2012",54.0777
"Thursday, September 27, 2012",76.2609
"Friday, September 28, 2012",82.4874
"Saturday, September 29, 2012",67.6257
"Sunday, September 30, 2012",77.5636
"Monday, October 01, 2012",85.6505
"Tuesday, October 02, 2012",89.6604
"Wednesday, October 03, 2012",94.0669
"Thursday, October 04, 2012",97.704
"Friday, October 05, 2012",85.1498
"Saturday, October 06, 2012",61.5718
"Sunday, October 07, 2012",86.2395
"Monday, October 08, 2012",93.8264
"Tuesday, October 09, 2012",88.432
"Wednesday, October 10, 2012",74.29
"Thursday, October 11, 2012",74.5617
"Friday, October 12, 2012",76.9394
"Saturday, October 13, 2012",59.1115
"Sunday, October 14, 2012",84.1232
"Monday, October 15, 2012",88.8325
"Tuesday, October 16, 2012",91.4623
"Wednesday, October 17, 2012",82.48
"Thursday, October 18, 2012",91.6253
"Friday, October 19, 2012",85.6466
"Saturday, October 20, 2012",59.0646
"Sunday, October 21, 2012",73.2515
"Monday, October 22, 2012",93.0709
"Tuesday, October 23, 2012",91.8532
"Wednesday, October 24, 2012",93.9668
"Thursday, October 25, 2012",85.9022
"Friday, October 26, 2012",79.288
"Saturday, October 27, 2012",52.9754
"Sunday, October 28, 2012",80.2465
"Monday, October 29, 2012",87.7677
"Tuesday, October 30, 2012",86.2699
"Wednesday, October 31, 2012",88.131
"Thursday, November 01, 2012",90.3654
"Friday, November 02, 2012",78.6659
"Saturday, November 03, 2012",67.8341
"Sunday, November 04, 2012",89.9846
"Monday, November 05, 2012",88.9475
"Tuesday, November 06, 2012",86.8072
"Wednesday, November 07, 2012",33.5326
"Thursday, November 08, 2012",76.6828
"Friday, November 09, 2012",76.0697
"Saturday, November 10, 2012",54.429
"Sunday, November 11, 2012",75.2389
"Monday, November 12, 2012",91.9958
"Tuesday, November 13, 2012",93.9589
"Wednesday, November 14, 2012",91.9725
"Thursday, November 15, 2012",94.9293
"Friday, November 16, 2012",82.0904
"Saturday, November 17, 2012",59.7231
"Sunday, November 18, 2012",82.7694
"Monday, November 19, 2012",93.8903
"Tuesday, November 20, 2012",95.7219
"Wednesday, November 21, 2012",94.1125
"Thursday, November 22, 2012",89.7175
"Friday, November 23, 2012",84.5155
"Saturday, November 24, 2012",52.9989
"Sunday, November 25, 2012",83.9711
"Monday, November 26, 2012",97.4665
"Tuesday, November 27, 2012",95.6518
"Wednesday, November 28, 2012",96.3102
"Thursday, November 29, 2012",95.7938
"Friday, November 30, 2012",82.2272
"Saturday, December 01, 2012",56.0722
"Sunday, December 02, 2012",88.4462
"Monday, December 03, 2012",96.7693
"Tuesday, December 04, 2012",96.4636
"Wednesday, December 05, 2012",87.5538
"Thursday, December 06, 2012",82.3922
"Friday, December 07, 2012",88.4635
"Saturday, December 08, 2012",51.7404
"Sunday, December 09, 2012",86.8101
"Monday, December 10, 2012",98.7629
"Tuesday, December 11, 2012",99.233
"Wednesday, December 12, 2012",101.7695
"Thursday, December 13, 2012",104.9099
"Friday, December 14, 2012",95.8498
"Saturday, December 15, 2012",70.6956
"Sunday, December 16, 2012",97.6086
"Monday, December 17, 2012",106.0396
"Tuesday, December 18, 2012",103.6858
"Wednesday, December 19, 2012",99.1197
"Thursday, December 20, 2012",104.957
"Friday, December 21, 2012",91.0292
"Saturday, December 22, 2012",64.4769
"Sunday, December 23, 2012",92.3593
"Monday, December 24, 2012",97.4805
"Tuesday, December 25, 2012",102.0823
"Wednesday, December 26, 2012",99.9114
"Thursday, December 27, 2012",103.0847
"Friday, December 28, 2012",91.8225
"Saturday, December 29, 2012",66.9719
"Sunday, December 30, 2012",89.8301
"Monday, December 31, 2012",68.3089
"Tuesday, January 01, 2013",91.4318
"Wednesday, January 02, 2013",98.2181
"Thursday, January 03, 2013",95.4567
"Friday, January 04, 2013",85.443
"Saturday, January 05, 2013",48.9319
"Sunday, January 06, 2013",78.9444
"Monday, January 07, 2013",91.6076
"Tuesday, January 08, 2013",97.079
"Wednesday, January 09, 2013",104.7866
"Thursday, January 10, 2013",98.2782
"Friday, January 11, 2013",86.2741
"Saturday, January 12, 2013",62.908
"Sunday, January 13, 2013",88.5091
"Monday, January 14, 2013",103.1347
"Tuesday, January 15, 2013",102.8789
"Wednesday, January 16, 2013",102.7702
"Thursday, January 17, 2013",101.912
