Months,KWH
Jan-12,0.10727043
Feb-12,0.033628889
Mar-12,0.203604315
Apr-12,0.528244422
May-12,0.103531324
Jun-12,0.075605833
Jul-12,0.475035282
Aug-12,0.28500578
Sep-12,0.358347917
Oct-12,0.047666319
Nov-12,0.74406625
Dec-12,0.051217272
Jan-13,0.047666319
Feb-13,0.125867014
Mar-13,0.280738777
Apr-13,0.565048387
May-13,0.283646458
Jun-13,0.651893194
Jul-13,0.285634226
Aug-13,0.250187366
Sep-13,0.46832375
Oct-13,0.588635215
Nov-13,0.722713978
Dec-13,0.190078159
Jan-14,0.015055903
Feb-14,0.235928403
Mar-14,0.283510081
Apr-14,0.136006667
May-14,0.279104722
Jun-14,0.558057813
Jul-14,0.123949261
Aug-14,0.220559341
Sep-14,0.486309792
Oct-14,0.73462547
Nov-14,0.617723586
